ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
JF292909	29903	6964	16829	702	0	0	6110
JF292910	29903	6964	16829	702	0	0	6110
JF292911	29903	6964	16829	702	0	0	6110
JF292912	29903	6964	16829	702	0	0	6110
JF292913	29903	6964	16829	702	0	0	6110
JF292914	29903	6964	16829	702	0	0	6110
JF292915	29903	6964	16829	702	0	0	6110
JF292916	29903	6964	16829	702	0	0	6110
JF292917	29903	6964	16829	702	0	0	6110
JF292918	29903	6964	16829	702	0	0	6110
JF292919	29903	6964	16829	702	0	0	6110
JF292920	29903	6964	16829	702	0	0	6110
JF292921	29903	7028	16829	702	0	0	6046
JF292922	29903	6879	16802	686	0	0	6222
JX163923	29903	6915	16733	670	0	0	6255
JX163924	29903	6915	16733	671	0	0	6255
JX163925	29903	6915	16733	670	0	0	6255
JX163926	29903	6915	16733	670	0	0	6255
JX163927	29903	6915	16733	670	0	0	6255
JX163928	29903	6915	16733	670	0	0	6255
JX993987	29903	4198	16322	359	4	0	9379
JX993988	29903	4944	17001	282	0	0	7958
KF294455	29903	4365	20582	162	4	0	4952
KF294456	29903	3341	20392	153	0	0	6170
KF294457	29903	6194	14533	140	0	0	9176
KF514388	29903	6365	16536	131	0	0	7002
KF514389	29903	6263	16536	131	0	0	7104
KF514390	29903	6263	16536	131	0	0	7104
KF514391	29903	6263	16536	131	0	0	7104
KF514392	29903	6365	16536	131	0	0	7002
KF514393	29903	6263	16536	131	0	0	7104
KF514394	29903	6365	16536	131	0	0	7002
KF514395	29903	6263	16536	131	0	0	7104
KF514396	29903	6365	16536	131	0	0	7002
KF514397	29903	6365	16536	131	0	0	7002
KF514398	29903	6365	16536	131	0	0	7002
KF514399	29903	6365	16536	131	0	0	7002
KF514400	29903	6365	16536	131	0	0	7002
KF514401	29903	6263	16536	131	0	0	7104
KF514402	29903	6263	16536	131	0	0	7104
KF514403	29903	6263	16536	131	0	0	7104
KF514404	29903	6365	16536	131	0	0	7002
KF514405	29903	6263	16536	131	0	0	7104
KF514406	29903	6263	16536	131	0	0	7104
KF514407	29903	6367	16671	133	0	0	6865
KF514408	29903	6365	16536	131	0	0	7002
KF514409	29903	6365	16536	131	0	0	7002
KF514410	29903	6263	16536	131	0	0	7104
KF514411	29903	6263	16536	131	0	0	7104
KF514412	29903	6263	16536	131	0	0	7104
KF514413	29903	6365	16536	131	0	0	7002
KF514414	29903	6263	16536	131	0	0	7104
KF514415	29903	6365	16536	131	0	0	7002
KF514416	29903	6263	16536	131	0	0	7104
KF514417	29903	6263	16536	131	0	0	7104
KF514418	29903	6365	16536	131	0	0	7002
KF514419	29903	6365	16536	131	0	0	7002
KF514420	29903	6263	16536	131	0	0	7104
KF514421	29903	6365	16536	131	0	0	7002
KF514422	29903	6365	16536	131	0	0	7002
KF514423	29903	6365	16536	131	0	0	7002
KJ473811	29903	4473	18580	139	4	0	6846
KJ473812	29903	5117	18043	134	0	0	6743
KJ473813	29903	4802	17382	137	0	0	7719
KJ473814	29903	6051	15450	145	0	0	8402
KJ473815	29903	5817	16758	122	0	0	7328
KJ473816	29903	5908	16243	112	4	0	7748
KP886808	29903	5126	17281	122	0	0	7496
KP886809	29903	4757	17281	122	0	0	7865
KU973692	29903	5534	16772	120	0	0	7597
KY417142	29903	6035	16674	104	0	0	7194
KY417143	29903	5998	16425	108	0	0	7480
KY417144	29903	5909	16768	112	0	0	7226
KY417145	29903	5779	16592	104	0	0	7532
KY417146	29903	6009	16098	114	0	0	7796
KY417147	29903	5853	16319	110	0	0	7731
KY417148	29903	5836	16103	108	0	0	7964
KY417149	29903	5448	16160	112	0	0	8295
KY417150	29903	5875	16085	108	4	0	7939
KY417151	29903	5598	16523	105	0	0	7782
KY417152	29903	5912	16199	104	0	0	7792
MG772933	29903	20058	3534	114	0	0	6311
MG772934	29903	20532	3787	113	0	0	5584
MK062179	29903	6253	16933	108	0	0	6717
MK062180	29903	6194	16933	108	0	0	6776
MK062181	29903	6079	17056	108	0	0	6768
MK062182	29903	5880	17056	108	0	0	6967
MK062183	29903	5886	17786	108	0	0	6231
MK062184	29903	5800	17786	108	0	0	6317
MN996532	29903	29275	230	22	0	0	398
MT782114	29903	5659	16827	120	0	0	7417
MT782115	29903	5659	16827	120	0	0	7417
OL674074	29903	6473	19799	147	0	0	3631
OL674075	29903	6689	20010	146	0	0	3204
OL674076	29903	6718	19708	145	0	0	3477
OL674077	29903	6626	19890	145	0	0	3387
OL674078	29903	6731	19891	145	0	0	3281
OL674079	29903	6456	19773	145	0	0	3674
OL674080	29903	6784	20000	139	0	0	3119
OL674081	29903	6606	20349	139	0	0	2948
Reference	29903	29903	0	0	0	0	0
